metro,date,upt,year,month,baseline_monthly_mean,pct_of_baseline,jan2019_upt,index_jan2019_100,upt_12m_avg
Chicago,2015-02-01,46701882,2015,2,45198820.2,1.0332544476459586,40896269,114.19594780149748,52673621.166666664
Chicago,2015-03-01,54178045,2015,3,50656980.0,1.069507992778093,40896269,132.47674256054995,52657963.333333336
Chicago,2015-04-01,53097611,2015,4,49157274.6,1.0801577473947264,40896269,129.83485363909358,52565223.083333336
Chicago,2015-05-01,53142713,2015,5,51113222.0,1.0397057927594546,40896269,129.9451375380967,52420611.75
Chicago,2015-06-01,54466919,2015,6,50755660.2,1.0731200970566825,40896269,133.1831003948062,52555219.833333336
Chicago,2015-07-01,55009501,2015,7,50134314.8,1.0972425018562337,40896269,134.5098277791551,52644293.75
Chicago,2015-08-01,53075305,2015,8,51053404.2,1.0396036431200408,40896269,129.78031076624617,52662222.25
Chicago,2015-09-01,55371814,2015,9,51562059.0,1.0738867895093174,40896269,135.39575945179743,52628788.416666664
Chicago,2015-10-01,57715430,2015,10,54155936.8,1.0657267404152817,40896269,141.12639468407252,52559022.5
Chicago,2015-11-01,50323374,2015,11,48094651.8,1.0463403334172803,40896269,123.05125927257569,52621462.916666664
Chicago,2015-12-01,48912061,2015,12,44379024.8,1.102143664049148,40896269,119.60030143581068,52547660.333333336
Chicago,2016-01-01,47828113,2016,1,45894020.6,1.042142579244844,40896269,116.94982004348611,52485230.666666664
Chicago,2016-02-01,48857457,2016,2,45198820.2,1.080945404853731,40896269,119.46678314346964,52664861.916666664
Chicago,2016-03-01,53169172,2016,3,50656980.0,1.0495922180911692,40896269,130.00983537153473,52580789.166666664
Chicago,2016-04-01,50686599,2016,4,49157274.6,1.0311108460028415,40896269,123.93942097749797,52379871.5
Chicago,2016-05-01,51891001,2016,5,51113222.0,1.015216786764098,40896269,126.88443779553582,52275562.166666664
Chicago,2016-06-01,52441904,2016,6,50755660.2,1.0332227734474428,40896269,128.23151177922855,52106810.916666664
Chicago,2016-07-01,50648183,2016,7,50134314.8,1.0102498299228775,40896269,123.84548575812624,51743367.75
Chicago,2016-08-01,51851551,2016,8,51053404.2,1.0156335667034715,40896269,126.78797422816248,51641388.25
Chicago,2016-09-01,53116056,2016,9,51562059.0,1.0301383814017202,40896269,129.87995555291366,51453408.416666664
Chicago,2016-10-01,54374032,2016,10,54155936.8,1.0040271706646944,40896269,132.95597209613425,51174958.583333336
Chicago,2016-11-01,50553883,2016,11,48094651.8,1.051133153229316,40896269,123.61490237654687,51194167.666666664
Chicago,2016-12-01,44824222,2016,12,44379024.8,1.0100317030851025,40896269,109.60467322825953,50853514.416666664
Chicago,2017-01-01,46577192,2017,1,45894020.6,1.0148858476783793,40896269,113.89105446269438,50749271.0
Chicago,2017-02-01,45535230,2017,2,45198820.2,1.0074428889628406,40896269,111.34323769241638,50472418.75
